C601,C602,C003,C006,C101,C102,C103,R001 0501
2024,P11,NA,245,P206,P01,P01,49
2024,P11,NA,694,P206,P01,P01,15
2024,P11,NA,237,P206,P01,P01,10
2024,P11,NA,916,P206,P01,P01,18
2024,P11,NA,676,P206,P01,P01,39
2024,P11,NA,938,P206,P01,P01,101
2024,P11,NA,768,P206,P01,P01,9
2024,P11,NA,561,P206,P01,P01,1071
2024,P11,NA,981,P206,P01,P01,353
2024,P11,NA,451,P206,P01,P01,6
2024,P11,NA,784,P206,P01,P01,91
2024,P11,NA,714,P206,P01,P01,41
2024,P11,NA,842,P206,P01,P01,20
2024,P11,NA,663,P206,P01,P01,12
2024,P11,NA,384,P206,P01,P01,48
2024,P11,NA,446,P206,P01,P01,20
2024,P11,NA,238,P206,P01,P01,708
2024,P11,NA,233,P206,P01,P01,3
2024,P11,NA,469,P206,P01,P01,40
2024,P11,NA,747,P206,P01,P01,185
2024,P11,NA,844,P206,P01,P01,647
2024,P11,NA,997,P206,P01,P01,66
2024,P11,NA,662,P206,P01,P01,442
2024,P11,NA,278,P206,P01,P01,4
2024,P11,NA,488,P206,P01,P01,44
2024,P11,NA,486,P206,P01,P01,2
2024,P11,NA,739,P206,P01,P01,1
2024,P11,NA,81,P206,P01,P01,2147
2024,P11,NA,431,P206,P01,P01,8
2024,P11,NA,921,P206,P01,P01,459
2024,P11,NA,271,P206,P01,P01,580
2024,P11,NA,864,P206,P01,P01,22
2024,P11,NA,833,P206,P01,P01,745
2024,P11,NA,924,P206,P01,P01,42
2024,P11,NA,834,P206,P01,P01,230
2024,P11,NA,770,P206,P01,P01,1
2024,P11,NA,342,P206,P01,P01,33
2024,P11,NA,227,P206,P01,P01,58
2024,P11,NA,285,P206,P01,P01,11
2024,P11,NA,391,P206,P01,P01,36
2024,P11,NA,988,P206,P01,P01,4
2024,P11,NA,715,P206,P01,P01,80
2024,P11,NA,671,P206,P01,P01,2
2024,P11,NA,458,P206,P01,P01,27
2024,P11,NA,459,P206,P01,P01,5
2024,P11,NA,433,P206,P01,P01,14
2024,P11,NA,971,P206,P01,P01,126
2024,P11,NA,323,P206,P01,P01,13
2024,P11,NA,936,P206,P01,P01,42
2024,P11,NA,841,P206,P01,P01,2
2024,P11,NA,288,P206,P01,P01,69
2024,P11,NA,736,P206,P01,P01,3
2024,P11,NA,832,P206,P01,P01,1
2024,P11,NA,871,P206,P01,P01,843
2024,P11,NA,246,P206,P01,P01,763
2024,P11,NA,664,P206,P01,P01,558
2024,P11,NA,668,P206,P01,P01,331
2024,P11,NA,786,P206,P01,P01,70
2024,P11,NA,465,P206,P01,P01,111
2024,P11,NA,828,P206,P01,P01,15
2024,P11,NA,831,P206,P01,P01,101
